variable_name,dataset,code_list,definition,,
hospd_mdr_dur,Expenditure and utilisation,,Estimated average duration of stay if patients starting MDR-TB/XDR-TB treatment are hospitalized (days)
hospd_mdr_prct,Expenditure and utilisation,,Estimated percentage of patients starting MDR-TB/XDR-TB treatment that are hospitalized (%)
rcvd_fld,Expenditure and utilisation,,Funding received for drugs to treat drug-susceptible TB (US Dollars)
rcvd_lab,Expenditure and utilisation,,"Funding received for laboratory infrastructure, equipment and supplies (US Dollars)"
rcvd_mdrmgt,Expenditure and utilisation,,Funding received for programme costs to treat drug-resistant TB (US Dollars)
rcvd_orsrvy,Expenditure and utilisation,,Funding received for operational research and surveys (US Dollars)
rcvd_oth,Expenditure and utilisation,,Funding received for all other budget line items (US Dollars)
rcvd_patsup,Expenditure and utilisation,,Funding received for patient support (US Dollars)
rcvd_prog,Expenditure and utilisation,,Funding received for programme costs to treat drug-susceptible TB (US Dollars)
rcvd_sld,Expenditure and utilisation,,Funding received for drugs to treat drug-resistant TB (US Dollars)
rcvd_staff,Expenditure and utilisation,,Funding received for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
rcvd_tbhiv,Expenditure and utilisation,,Funding received for collaborative TB/HIV activities (US Dollars)
rcvd_tot,Expenditure and utilisation,,Total funding received for all budget line items (US Dollars)
rcvd_tot_domestic,Expenditure and utilisation,,"Funding received from domestic sources, including loans (US Dollars)"
rcvd_tot_gf,Expenditure and utilisation,,"Funding received from the Global Fund to Fight AIDS, Tuberculosis and Malaria (US Dollars)"
rcvd_tot_grnt,Expenditure and utilisation,,Funding received from other sources (US Dollars)
rcvd_tot_sources,Expenditure and utilisation,,Total funding received from all sources (US Dollars)
rcvd_tot_usaid,Expenditure and utilisation,,Funding received from USAID (US Dollars)
collab_private_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the private sector (including NGOs) collaborating with the NTP?
collab_public_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the public sector collaborating with the NTP?
culture,Laboratories,,Number of sites providing TB diagnostic services using culture at the end of the reporting year
dst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year
dst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing
lab_cul,Laboratories,,Number of laboratories providing TB diagnostic services using culture
lab_dst,Laboratories,,Number of laboratories providing TB diagnostic services using drug susceptibility testing
lab_dst_eqa,Laboratories,,Number of drug susceptibility testing laboratories for which External Quality Assessment (EQA) was carried out
lab_dst_eqa_pass,Laboratories,,Number of drug susceptibility testing laboratories which demonstrated acceptable performance
lab_lpa,Laboratories,,Number of laboratories providing TB diagnostic services using Line Probe Assay (LPA) rifampicin
lab_lpa_eqa,Laboratories,,Number of Line Probe Assay (LPA) rifampicin  laboratories for which External Quality Assessment (EQA) was carried out
lab_lpa_eqa_pass,Laboratories,,Number of Line Probe Assay (LPA) rifampicin laboratories which demonstrated acceptable performance
lab_sm,Laboratories,,Number of laboratories providing TB diagnostic services using smear microscopy
lab_sm_eqa,Laboratories,,Number of smear microscopy laboratories for which External Quality Assessment (EQA) was carried out
lab_sm_eqa_pass,Laboratories,,Number of smear microscopy laboratories which demonstrated acceptable performance
lab_sm_led,Laboratories,,Number of laboratories providing TB diagnostic services using LED microscopes for smear microscopy
lab_xpert,Laboratories,,Number of laboratories providing TB diagnostic services using xpert MTB/RIF
lab_xpert_eqa,Laboratories,,Number of laboratories providing TB diagnostic services using xpert MTB/RIF for which External Quality Assessment (EQA) was carried out
lpa,Laboratories,,Number of sites providing Line Probe Assay services at the end of the reporting year
lpa_eqa_pass,Laboratories,,Number of sites providing Line Probe Assay services that demonstrated proficiency by panel testing
nrl,Laboratories,0=No; 1=yes,Was there a national reference laboratory or laboratories (NRL)?
nrl_iso15189,Laboratories,0=No; 1=yes,Has the national reference laboratory (or national reference laboratories) achieved national or international accreditation according to the ISO 15189 standard?
nrl_qms,Laboratories,0=No; 1=yes,Has a formal quality management system towards achieving laboratory accreditation been implemented at the National Reference Laboratory?
nrl_srl_link,Laboratories,0=No; 1=yes,Has a formal link been established between the National Reference Laboratory and a partner Supranational Reference Laboratory?
qms,Laboratories,0=No; 1=yes,"Is a formal quality management system towards achieving accreditation being implemented in all laboratories conducting culture, LPA and/or DST?"
sldst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs at the end of the reporting year
sldst_avail_incntry,Laboratories,0=No; 1=yes,Was second-line drug susceptibility testing available within the country for TB National Treatment Programme patients?
sldst_avail_outcntry,Laboratories,0=No; 1=yes,Was second-line drug susceptibility testing available outside the country for TB National Treatment Programme patients?
sldst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs that demonstrated proficiency by panel testing
sllpa,Laboratories,,"Number of sites providing Line Probe Assay (LPA) services for rifampicin, isoniazid, fluoroquinolones, second-line injectables"
sllpa_eqa_pass,Laboratories,,"Number of sites providing Line Probe Assay (LPA) services for rifampicin, isoniazid, fluoroquinolones, second-line injectables that demonstrated proficiency by panel testing"
smear,Laboratories,,Number of sites providing TB diagnostic services using smear microscopy at the end of the reporting year
smear_eqa,Laboratories,,Number of sites providing TB diagnostic services using smear microscopy covered by a comprehensive EQA system
xpert,Laboratories,,Number of sites providing TB diagnostic services using Xpert MTB/RIF at the end of the reporting year
xpert_eqa,Laboratories,,Number of sites providing TB diagnostic services using Xpert MTB/RIF covered by a comprehensive EQA system
xpert_etrans,Laboratories,,Number of sites using Xpert MTB/RIF which transmit results automatically to clinicians and to an information management system
 e_prevtx_kids_pct,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy
 e_prevtx_kids_pct_hi,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: High bound
 e_prevtx_kids_pct_lo,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: Low bound
e_hh_size,Latent TB infection,,Estimated average household size
e_prevtx_eligible,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy
e_prevtx_eligible_hi,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: high bound
e_prevtx_eligible_lo,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: low bound
newinc_con04_prevtx,Latent TB infection,,(If prevtx_data_available=60) Number of children aged under 5 started on TB preventive treatment who are household contacts of bacteriologically-confirmed new and relapse TB cases notified
ptsurvey_newinc,Latent TB infection,,(If prevtx_data_available=61) Number of bacteriologically-confirmed TB new and relapse cases notified in the reporting year whose medical records or treatment cards were included in a survey
ptsurvey_newinc_con04_prevtx,Latent TB infection,,(If prevtx_data_available=61) Number of children aged under 5 started on TB preventive treatment who are household contacts of the TB cases in ptsurvey_newinc
source_hh,Latent TB infection,,Source of estimate of average household size
prevtx_data_available,LTBI/Policies and services,0=No; 60= Yes available from the routine surveillance system; 61=Yes  estimated from a survey of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population,Are data available on the number of household contacts of TB cases started on TB preventive treatment?
tbhiv_sentin_cil,Non-routine HIV surveillance,,Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_ciu,Non-routine HIV surveillance,,Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_prev,Non-routine HIV surveillance,,Prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_yr,Non-routine HIV surveillance,,Year in which prevalence of HIV in TB patients was estimated using sentinel sites
tbhiv_surv_cil,Non-routine HIV surveillance,,Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_ciu,Non-routine HIV surveillance,,Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_prev,Non-routine HIV surveillance,,"Prevalence (%) of HIV in TB patients estimated using nationwide representative
surveys"
tbhiv_surv_yr,Non-routine HIV surveillance,,Year in which prevalence of HIV in TB patients was estimated using nationwide representative surveys
all_conf_xdr,Notification,,Number of laboratory-confirmed XDR-TB cases identified in the current year (including in MDR cases diagnosed in previous years).
c_newinc,Notification,,Total of new and relapse cases and cases with unknown previous TB treatment history
conf_mdr,Notification,,Number of laboratory-confirmed MDR-TB cases identified
conf_mdr_tx,Notification,,Number of laboratory-confirmed MDR-TB patients who started treatment for MDR-TB
conf_rrmdr,Notification,,Number of laboratory-confirmed RR-TB or MDR-TB cases identified
conf_rrmdr_tx,Notification,,Number of laboratory-confirmed rifampicin-resistant (RR-TB) or multidrug-resistant TB (MDR-TB) patients who started treatment for MDR-TB
conf_xdr_tx,Notification,,Number of laboratory-confirmed XDR-TB patients who started treatment for XDR-TB
hiv_art,Notification,,HIV-positive TB patients started or continued on antiretroviral therapy (ART)
hiv_cpt,Notification,,HIV-positive TB patients started or continued on co-trimoxazole preventive therapy (CPT)
hiv_ipt,Notification,,People living with HIV newly enrolled in HIV care who started treatment for latent TB infection
hiv_ipt_reg_all,Notification,,People living with HIV currently enrolled in HIV care who started treatment for latent TB infection
hiv_reg,Notification,,Total number of people registered as HIV-positive regardless of year of diagnosis. (Total number of adults and children enrolled in HIV care; includes everyone in the HIV care and/or ART register)
hiv_reg_all,Notification,,Number of adults and children currently enrolled in HIV care during the year.
hiv_reg_new,Notification,,Number of adults and children newly enrolled in HIV care during the year.
hiv_reg_new2,Notification,,Total number of adults and children newly enrolled in pre-ART care or on ART during the reporting period
hiv_tbdetect,Notification,,Total number of adults and children newly enrolled in HIV care who are diagnosed as having active TB disease during the reporting period
hiv_tbscr,Notification,,Number of adults and children enrolled in HIV care who had their TB status assessed and recorded during their last visit
hivtest,Notification,,TB patients (new and re-treatment) with an HIV test result recorded in the TB register
hivtest_pos,Notification,,TB patients (new and re-treatment) recorded as HIV-positive
mdr_shortreg_tx,Notification,,Number of patients started on shorter MDR-TB treatment regiments during the reporting year
mdr_shortreg_used,Notification,0=No; 1=Yes; 3=Don't know,Had any patients been started on shorter MDR-TB treatment regimens by the end of the reporting year?
mdr_tx_adsm,Notification,,Number of patients actively monitored for adverse events while on MDR-TB treatment in the reporting year
mdr_tx_adverse_events,Notification,,Number of patients on MDR-TB treatment who had adverse events registered in the reporting year
mdrxdr_bdq_tx,Notification,,Number of patients started on Bedaquiline during the reporting year
mdrxdr_bdq_used,Notification,0=No; 1=Yes; 3=Don't know,"Had any TB patients been started on Bedaquiline for the treatment of MDR-/XDR-TB by the end of reporting year as part of expanded access, compassionate use or under normal programmatic use, whether in the public or private sector?"
mdrxdr_dlm_tx,Notification,,Number of patients started on Delamanid during the reporting year
mdrxdr_dlm_used,Notification,0=No; 1=Yes; 3=Don't know,"Had any TB patients been started on Delamanid for the treatment of MDR-/XDR-TB by the end of reporting as part of expanded access, compassionate use or under normal programmatic use, whether in the public or private sector?"
new_clindx,Notification,,"New pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment).  It also includes pulmonary clinically diagnosed cases with unknown previous TB treatment history."
new_ep,Notification,,New extrapulmonary cases (bacteriologically confirmed or clinically diagnosed). As of 2013 this also includes extrapulmonary cases with unknown previous TB treatment history.
new_ep_f014,Notification,,New extrapulmonary cases: females aged 0-14 years (not used after 2012)
new_ep_f04,Notification,,New extrapulmonary cases: females aged 0-4 years (not used after 2012)
new_ep_f1524,Notification,,New extrapulmonary cases: females aged 15-24 years (not used after 2012)
new_ep_f15plus,Notification,,New extrapulmonary cases: females aged 15 years and over (not used after 2012)
new_ep_f2534,Notification,,New extrapulmonary cases: females aged 25-34 years (not used after 2012)
new_ep_f3544,Notification,,New extrapulmonary cases: females aged 35-44 years (not used after 2012)
new_ep_f4554,Notification,,New extrapulmonary cases: females aged 45-54 years (not used after 2012)
new_ep_f514,Notification,,New extrapulmonary cases: females aged 5-14 years (not used after 2012)
new_ep_f5564,Notification,,New extrapulmonary cases: females aged 55-64 years (not used after 2012)
new_ep_f65,Notification,,New extrapulmonary cases: females aged 65 years and over (not used after 2012)
new_ep_fu,Notification,,New extrapulmonary cases: females age unknown (not used after 2012)
new_ep_m014,Notification,,New extrapulmonary cases: males aged 0-14 years (not used after 2012)
new_ep_m04,Notification,,New extrapulmonary cases: males aged 0-4 years (not used after 2012)
new_ep_m1524,Notification,,New extrapulmonary cases: males aged 15-24 years (not used after 2012)
new_ep_m15plus,Notification,,New extrapulmonary cases: males aged 15 years and over (not used after 2012)
new_ep_m2534,Notification,,New extrapulmonary cases: males aged 25-34 years (not used after 2012)
new_ep_m3544,Notification,,New extrapulmonary cases: males aged 35-44 years (not used after 2012)
new_ep_m4554,Notification,,New extrapulmonary cases: males aged 45-54 years (not used after 2012)
new_ep_m514,Notification,,New extrapulmonary cases: males aged 5-14 years (not used after 2012)
new_ep_m5564,Notification,,New extrapulmonary cases: males aged 55-64 years (not used after 2012)
new_ep_m65,Notification,,New extrapulmonary cases: males aged 65 years and over (not used after 2012)
new_ep_mu,Notification,,New extrapulmonary cases: males age unknown (not used after 2012)
new_ep_sexunk014,Notification,,"New extrapulmonary cases: sex unknown, aged 0-14 years (not used after 2012)"
new_ep_sexunk04,Notification,,"New extrapulmonary cases: sex unknown, aged 0-4 years (not used after 2012)"
new_ep_sexunk15plus,Notification,,"New extrapulmonary cases: sex unknown, aged 15 years and over (not used after 2012)"
new_ep_sexunk514,Notification,,"New extrapulmonary cases: sex unknown, aged 5-14 years (not used after 2012)"
new_ep_sexunkageunk,Notification,,"New extrapulmonary cases: sex unknown, age unknown (not used after 2012)"
new_labconf,Notification,,New pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF). As of 2013 this also includes pulmonary bacteriologically confirmed cases with unknown previous TB treatment history.
new_oth,Notification,,Other new cases (not used after 2012)
new_sn,Notification,,New pulmonary smear-negative cases (not used after 2012)
new_sn_f014,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 0-14 years (not used after 2012)
new_sn_f04,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 0-4 years (not used after 2012)
new_sn_f1524,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 15-24 years (not used after 2012)
new_sn_f15plus,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 15 years and over (not used after 2012)
new_sn_f2534,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 25-34 years (not used after 2012)
new_sn_f3544,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 35-44 years (not used after 2012)
new_sn_f4554,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 45-54 years (not used after 2012)
new_sn_f514,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 5-14 years (not used after 2012)
new_sn_f5564,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 55-64 years (not used after 2012)
new_sn_f65,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 65 years and over (not used after 2012)
new_sn_fu,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females age unknown (not used after 2012)
new_sn_m014,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 0-14 years (not used after 2012)
new_sn_m04,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 0-4 years (not used after 2012)
new_sn_m1524,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 15-24 years (not used after 2012)
new_sn_m15plus,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 15 years and above (not used after 2012)
new_sn_m2534,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 25-34 years (not used after 2012)
new_sn_m3544,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 35-44 years (not used after 2012)
new_sn_m4554,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 45-54 years (not used after 2012)
new_sn_m514,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 5-14 years (not used after 2012)
new_sn_m5564,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 55-64 years (not used after 2012)
new_sn_m65,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 65 years and over (not used after 2012)
new_sn_mu,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males age unknown (not used after 2012)
new_sn_sexunk014,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 0-14 years (not used after 2012)"
new_sn_sexunk04,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 0-4 years (not used after 2012)"
new_sn_sexunk15plus,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 15 years and over (not used after 2012)"
new_sn_sexunk514,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 5-14 years (not used after 2012)"
new_sn_sexunkageunk,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, age unknown (not used after 2012)"
new_sp,Notification,,New pulmonary smear-positive cases (not used after 2012)
new_sp_f014,Notification,,New pulmonary smear positive cases: females aged 0-14 years (not used after 2012)
new_sp_f04,Notification,,New pulmonary smear positive cases: females aged 0-4 years (not used after 2012)
new_sp_f1524,Notification,,New pulmonary smear positive cases: females aged 15-24 years (not used after 2012)
